Budget Item Code,Georgian Name,Budget Item Type,English Translation
45 09,საქართველოს საპატრიარქოს ა ა იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,Program,Grant for Georgian Patriarchate NNLP Tbel Abuseridze University
33 04,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,Program,Protection Of Cultural Heritage And Improvement Of Museum System
37 01 09,სასოფლო-სამეურნეო ტექნიკის სესხისა და ლიზინგის ვალდებულებების დაფარვა,Program,Conceal Loan and Leasing Liabilities in Agricultural Technology
39 03,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,Program,Social Protection Measures For Celebrity Sportsmen
53 11 01,ორმხრივი რეგიონალური და რეგიონთაშორისი პროექტები გერმანიის საერთაშორისო თანამშრომლობის საზოგადოება,Program,Bilateral Regional And Inter-Regional Projects German Society For International Cooperation
53 05,საქართველოს პრეზიდენტის სარეზერვო ფონდი,Program,Presidential Reserve Fund
47 01,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,Program,Planning And Management Of Statistics 
24 01 02,სახელმწიფო საწარმოების მართვა,Program,State Enterprise Management
38 06,გარემოსდაცვით ინფორმაციაზე ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,Program,Access to Environmental Information And Environmental Education Promotion Program
33 02,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მისი ფარგლებს გარეთ,Program,"Facilitated Development Of Arts In Georgia And Its
Promotion Overseas"
49 03,საერთაშორისო ორგანიზაციებში საქართველოს მონაწილეობიდან გამომდინარე არსებული ვალდებულებები,Program,Existing Obligations Based On Georgia's Participation in International Organizations
37 01 07,შეღავათიანი აგროკრედიტები,Program,Stimulation of Regional Agriculture Land Use
35 01 12,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამის მართვა,Program,Promote The Rehabilitation of Drug Addicts Program Management
45 12,ა(ა)იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,Program,Grant for NNLP Akhalkalaki and Kumurdo Diocese Center
24 01 03,სახელმწიფო ობიექტების მოვლა შენახვა,Program,Maintenance of State Facilities
17 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის ასპინძის ახალციხის ახალქალაქის ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში,Spending Agency,"Administration of the State Representative – Governor in ADIGENI, ASPINDZA, AKHALTSIKHE, AKHALKALAKI, BORJOMI and NINOTSMINDA Municipalities"
45 05,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,Program,Grant For Patriarchate of Georgia Batumi Saint Catherine's Monastery
35 01 06,ადამიანით ვაჭრობის ტრეფიკინგის მსხვერპლთა დაცვა და დახმარება,Program,Protection And Support Of Victims Of Human Trafficking
24 05,აკრედიტაციის პროცესის მართვა და განვითარება,Program,Management And Development Of Accreditation Process
