code,type,name,priority,year
0,,ჯამური,,2012
01 00,spending agency,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,NA,2012
01 01,program,საკანონმდებლო საქმიანობა,6,2012
01 02,program,აუდიტორული საქმიანობის სახელმწიფო რეგულირება,5,2012
01 03,program,საბიბლიოთეკო საქმიანობა,4,2012
01 04,program,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,4,2012
02 00,spending agency,საქართველოს პრეზიდენტის ადმინისტრაცია,NA,2012
02 01,program,საქართველოს პრეზიდენტის ადმინისტრაცია,6,2012
02 02,program,საჯარო სამსახურის სფეროში სახელმწიფო პოლიტიკის შემუშავება,6,2012
03 00,spending agency,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,NA,2012
03 01,program,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,2,2012
03 02,program,ეროვნული უსაფრთხოების პოლიტიკის ღონისძიებები,2,2012
04 00,spending agency,საქართველოს მთავრობის კანცელარია,6,2012
05 00,spending agency,საქართველოს კონტროლის პალატა,5,2012
05 01,program,,NA,2012
05 02,program,,NA,2012
06 00,spending agency,საქართველოს ცენტრალური საარჩევნო კომისია,NA,2012
06 01,program,საარჩევნო გარემოს განვითარება,6,2012
06 02,program,არჩევნების ჩატარების ღონისძიებები,6,2012
06 03,program,საარჩევნო სისტემების განვითარება და სისტემისათვის მოხელეთა მომზადება გადამზადება,6,2012
06 04,program,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,6,2012
06 06,program,ამომრჩეველთა სიების დაზუსტების უზრუნველყოფის პროგრამა“,6,2012
07 00,spending agency,საქართველოს საკონსტიტუციო სასამართლო,11,2012
08 00,spending agency,საქართველოს უზენაესი სასამართლო,11,2012
08 01,program,,NA,2012
09 00,spending agency,საერთო სასამართლოები,NA,2012
09 01,program,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,11,2012
09 02,program,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება გადამზადება,4,2012
10 00,spending agency,საქართველოს იუსტიციის უმაღლესი საბჭო,11,2012
11 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის ზუგდიდის მარტვილის მესტიის სენაკის ჩხოროწყუს წალენჯიხის ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში,6,2012
12 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში,6,2012
13 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის ვანის ზესტაფონის თერჯოლის სამტრედიის საჩხერის ტყიბულის წყალტუბოს ჭიათურის ხარაგაულის ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში,6,2012
14 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის გურჯაანის დედოფლისწყაროს თელავის ლაგოდეხის საგარეჯოს სიღნაღისა და ყვარლის მუნიციპალიტეტებში,6,2012
15 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის თიანეთის მცხეთისა და ყაზბეგის მუნიციპალიტეტებში,6,2012
16 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის ლენტეხის ონისა და ცაგერის მუნიციპალიტეტებში,6,2012
17 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის ასპინძის ახალციხის ახალქალაქის ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში,6,2012
