"ხელმისაწვდომი, ხარისხიანი ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა",1,"2,847,818.00","2,809,718.00",
"თავდაცვა, საზოგადოებრივი წესრიგი და უსაფრთხოება",2,"1,618,337.90","1,510,925.00",
"რეგიონალური განვითარება, ინფრასტრუქტურა და ტურიზმი",3,"1,141,575.00","1,141,100.00",
"განათლება, მეცნიერება და პროფესიული მომზადება",4,"1,114,878.70","907,258.70",
მაკროეკონომიკური სტაბილურობა და საინვესტიციო გარემოს გაუმჯობესება,5,"268,358.00","164,274.00",
ინსტიტუციური განვითარება და ქვეყნის ინტერესების სამართლებრივი მხარდაჭერა,6,"255,004.00","180,754.00",პ.ს. დოკუმენტში წერია- ინსტიტუციონალური განვითარება
იძულებით გადაადგილებულ პირთა და მიგრანტთა სახელმწიფო მხარდაჭერა და რეინტეგრაციის ხელშეწყობა,7,"74,850.00","74,850.00",
"კულტურა, რელიგია, ახალგაზრდობის ხელშეწყობა და სპორტი",8,"239,320.00","220,860.00",
საერთაშორისო ურთიერთობები და ევროატლანტიკურ სივრცეში ინტეგრაცია,9,"103,960.00","103,900.00",
სოფლის მეურნეობა,10,"336,000.00","291,000.00",
სასამართლო სისტემა,11,"88,460.00","64,990.00",
გარემოს დაცვა და ბუნებრივი რესურსების მართვა,12,"45,100.00","39,000.00",
